chemical_name,synonyms,un_number,chris code,molecular_formula,appearance,specific_gravity,chemical_family,boiling_point,freezing_point,vapor_pressure (mmHg),reid vapor pressure,vapor_density,water_solubility,fire_grade,electrical_group,flash_point (F),flammable_limits,autoignition_temperature,fire_extinguishing_agent,special_fire_procedures,unusual_fire_explosion_hazards,health_hazard_rating,odor_threshold,permissible_exposure_limit,threshold_limit_value,symptoms,short_term_exposure,long_term_exposure,personal_protection,first_aid,stability,incompatibility,hazardous_decomposition_products,hazardous_polymerization,cargo_group,spill_or_leak_procedure,remarks,general_note,extraction_note,page_number,source,NOTE
iso-BUTYL ACETATE,"Acetic acid, iso-butyl ester; Butyl acetate; Isobutyl acetate; 2-Methylpropyl acetate; 2-Methyl-1-propyl acetate; beta-Methylpropyl ethanoate",1213,"IBA (iso-, n-): BAX",CH3COOCH2CH(CH3)2,"Colorless liquid; pleasant, fruity odor",0.87,Ester,118°C 244°F,-100°C -148°F,,0.4,4,Slight,D: Combustible liquid,D,88,2 to 15% (approx.),793,"CO2, dry chemical, alcohol foam, water fog",Use of dry chemical where it can get into a tank of butyl acetate is not recommended. Fire involving spills outside of tanks can be extinguished with dry chemical. Water may be ineffective. Cool adjacent tanks with water spray.,Flashback along vapor trail may occur. May explode if ignited in an enclosed area.,"1,1,2",10,150,150,"Inhalation of vapors will cause headache, irritation of respiratory passages and eyes, dizziness, and nausea.",200-300 ppm produces some nose and eye irritation upon brief exposure.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.","Generally stable, however, will slowly decompose on standing to form acetic acid and isobutyl alcohol.",Softens and dissolves rubber and many plastics.,"Acetic acid, isobutyl alcohol (on standing).",,Group 34 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister masks available. Avoid contact with liquid. Secure ignition sources. For a gas leak from a faulty tank, keep concentration of gas below the explosive mixture range by ventilation. If a spill occurs, call the National Response Center, 800-424-8802.",* Vapor Pressure: 10 mmHg at 12.8°C.,"Vapor irritating to eyes, nose and throat. Liquid irritating to skin and eyes.",,30,USCG Hazardous Chemical Data,
n-BUTYL ACETATE,"Acetic acid, butyl ester; Butyl acetate; normal-Butyl acetate; Butyl ethanoate",1123,"BCN (iso-, n-): BAX",CH3COOC4H9,"Colorless liquid; pleasant, fruity odor",0.88,Ester,127°C 260°F,-77°C -107°F,8.7,0.5,4,Slight,D: Combustible liquid,D,90,1.4 to 7.6%,790,"CO2, dry chemical, alcohol foam, water fog",Use of dry chemical where it can get into a tank of n-butyl acetate is not recommended. Fires involving spills outside of tanks can be extinguished with dry chemicals. Water may be ineffective. Cool exposed tanks with water spray.,"Volatile, with a low flash point. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed space.","1,1,2",10,150,150,"Headache, irritation of respiratory passage and eyes, dizziness, and nausea.",200-300 ppm produces some nose and eye irritation upon brief exposure.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.","Stable, however, will hydrolyze (react with water) on standing to form acetic acid and n-butyl alcohol.",Softens and dissolves rubber and many plastics.,"Acetic acid, n-butyl alcohol (on hydrolysis).",,Group 34 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",,"Low level of toxicity. Vapor irritating to eyes, nose and throat. Liquid irritating to skin and eyes.",,31,USCG Hazardous Chemical Data,
sec-BUTYL ACETATE,"Acetic acid, 1-methylpropyl ester; Acetic acid, sec-butyl ester; 2-Butanol acetate; 1-Methylpropylacetate",1123,BTA,CH3COOCH(CH3)C2H5,"Colorless liquid; mild, pleasant odor",0.89,Ester,112°C 234°F,-73°C -100°F,20.4,1,4,Slight,D: Combustible liquid,D,88,1.7 to 9.8%,750 to 800,"CO2, dry chemical, alcohol foam, water fog",Use of dry chemical where it can get into a tank of butyl acetate is not recommended. Fires involving spills outside of tanks can be extinguished with dry chemical. Water may be ineffective. Cool exposed tanks with water spray.,Volatile with low flash point. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.,"1,1,2",below 200,200,200,"Headache, irritation of respiratory passages and eyes, dizziness, and nausea.",300 ppm,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.","Stable, however, will hydrolyze (react with water) on standing to form acetic acid and sec-butyl alcohol.",Softens and dissolves rubber and many plastics.,"Acetic acid, sec-butyl alcohol (on hydrolysis).",,Group 34 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",,"Vapor irritating to eyes, nose and throat. Liquid irritating to skin and eyes.",,32,USCG Hazardous Chemical Data,
iso-BUTYL ACRYLATE,"Acrylic acid, iso-butyl ester; Isobutyl acrylate; Isobutyl-2-propenoate; 2-Methyl-1-propyl acrylate",2527,"BAI (iso-, n-): BAR",CH2=CHCOOCH2CH(CH3)2,"Colorless liquid; sharp, fragrant odor",0.88,Acrylate,137°C 271°F,-61°C -78°F,10.7,0.4,4.42,slight,D: Combustible liquid,D,86,1.9 to 8.00%,644,"CO2, water fog, dry chemical, foam",Provide fire fighters with breathing apparatus. Keep tank cool with water spray.,The main hazard is its very easy polymerization. Ignited by heat and open flame. Fire may cause violent rupture of tank.,"1,1,1",Unavailable,10,Unavailable,Slight redness from skin contact with liquid.,Unavailable.,,,"Skin or eye contact—flush immediately with large quantities of water for at least 15 minutes. If any irritation or injury develops after washing, prompt medical attention should be obtained. Vapor inhalation—remove victim to uncontaminated area and obtain prompt medical attention if any illness is observed.",Polymerizes readily on heating. Must be inhibited.,Compatible with most materials of construction.,,Polymerizes readily on heating; must be inhibited.,Group 14 of compatibility chart.,"Wear rubber gloves, face shield, full protective clothing. Have all-purpose canister mask available. Secure ignition sources. Small spills may be flushed away with water. If a spill occurs, call the National Response Center, 800-424-8802.",,Vapor irritating. Avoid skin contact with liquid.,,33,USCG Hazardous Chemical Data,
n-BUTYL ACRYLATE,"Acrylic acid, n-butyl ester; n-Butyl-2-propenoate; 2-Propenoic acid, butyl ester",2348,"BTC (iso-, n-): BAR",CH2=CHCOOC4H9,"Colorless liquid; sharp, biting, ester-like odor.",0.9,Acrylate,149°C 300°F,-64°C -83°F,3.2,0.2,4.4,Negligible,D: Combustible liquid,D,120,1.5 to 9.9%,567,"Carbon dioxide, dry chemical, alcohol foam, water spray.",Provide fire fighters with breathing apparatus. Keep tank cool with water spray.,The main hazard is its very easy polymerization. Ignited by heat and open flame. Fire may cause violent rupture of tank.,"1,1,1",Unavailable,10,10,Eye irritation; watering of eyes and salivation when inhaled.,Unavailable.,,,"Skin contact should be washed thoroughly with soap and water. In case of eye contact, flush with water for 15 minutes. Get medical attention or advice.",Polymerizes readily on heating. Must be inhibited.,"Compatible with steel, stainless steel or aluminum.",,Polymerizes readily on heating; must be inhibited.,Group 14 of compatibility chart.,"Wear rubber gloves, face shield, full protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",,Vapor and liquid are irritating.,,34,USCG Hazardous Chemical Data,
iso-BUTYL ALCOHOL,Alcohol C-4; Fermentation butyl alcohol; 1-Hydroxymethylpropane; IBA; Isobutanol; Isobutyl alcohol; Isopropylcarbinol; 2-Methyl-1-propanol,1212,IAL,(CH3)2CHCH2OH,Colorless liquid; sweet odor,0.81 at 15°C,Alcohol,107°C 225°F,-108°C -162°F,88,,2.6,Moderate,D: Combustible liquid,D,100,1.7 to 10.9% at 212°F,825,"CO2, dry chemical, alcohol foam, water fog",Water may be ineffective.,Ignited by heat or open flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.,"1,0,1",Unavailable,50,50,Headache and dizziness.,150 ppm,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",Stable.,Compatible with plain steel. Water-free isobutanol reacts with aluminum at temperatures above 120°F.,,,Group 20 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unavailable,"Not highly toxic. Eye contact should be prevented, and prolonged or repeated exposure to the vapors should be avoided. Prolonged or repeated skin contact may cause defatting of the skin and may produce dermatitis from daily contact.",,35,USCG Hazardous Chemical Data,
n-BUTYL ALCOHOL,Alcohol C-4; Butanol; 1-Butanol; n-Butanol; Butyl alcohol; Butyric alcohol; 1-Hydroxybutane; NBA; Propyl carbinol; n-Propyl carbinol,1120,BAN,CH3(CH2)3OH,Colorless liquid; pungent alcohol odor,0.81,Alcohol,117°C 243°F,-84°C -120°F,88,0.3,2.6,modertae,D: Combustible liquid,D,103,1.4 to 11.2%,690,"Dry chemical, CO2, foam, water fog",Water and alcohol foam may be ineffective on fire.,"Ignited by heat, sparks, or open flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.","1,1,2",25,50/Skin,50/Skin,"Headache, dizziness and respiratory irritation.",150 ppm,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",Stable.,"Recommend carbon steel tanks, valves, and piping. Water-free n-butanol reacts with aluminum at temperatures above 120°F.",,,Group 20 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",,Causes significant injury to the surface of the eye. Repeated skin contact may have a defatting action on the skin and may produce dermatitis from daily contact. Avoid prolonged and repeated breathing of vapors.,"Health Hazard Ratings printed unclearly in source text layer ('45: 1;2'); interpreted as '4,1,2' but flagged for visual confirmation.",36,USCG Hazardous Chemical Data,
sec-BUTYL ALCOHOL,Alcohol C-4; 2-Butanol; sec-Butanol; Butylene hydrate; Ethyl methyl carbinol; 2-Hydroxybutane; Methyl ethyl carbinol; SBA,1120,BAS,CH3CH2CHOHCH3,"Colorless liquid; strong, pleasant odor",0.81,Alcohol,99°C 211°F,-109°C -165°F,,0.2,2.6,Moderate,C: Flammable liquid,D,74,1.7 to 9.8% at 212°F.,763,"CO2, dry chemical, alcohol foam, water fog",Water may be ineffective on fire.,Dangerous when exposed to heat or flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.,"1,0,1",Unavailable,100,100,Headache and dizziness.,150 ppm for 30 minutes.,,,Vapor—remove victim to fresh air. Give artificial respiration if breathing stops. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 min. Get medical help.,Stable.,Usual materials of construction are suitable.,,,Group 20 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",* Vapor Pressure: 31 mmHg at 32°C.,Avoid inhalation of high vapor concentrations. Prolonged or repeated skin contact may cause defatting of the skin and may produce dermatitis from daily contact.,Boiling point value and CHRIS Code were not legible in the text layer for this page.,37,USCG Hazardous Chemical Data,
tert-BUTYL ALCOHOL,Alcohol C-4; tert-Butanol; 2-Methyl-2-propanol; TBA; Trimethyl carbinol,1120,BAT,(CH3)3COH,"Colorless liquid or crystalline solid; pungent, camphor-like odor",0.78 at 26°C (a liquid),Alcohol,83°C 181°F,26°C 78°F,30.6,1.8,2.6,Complete,C: Flammable liquid,D,52 (cc) (tert-Butyl alcohol is solid at 52°F),2.4 to 8.0%,892,"CO2, dry chemical, alcohol foam, water fog",Water may be ineffective on fire.,Dangerous when exposed to heat or flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.,"1,0,1",Unavailable,100,100,Headache and dizziness.,Unavailable,,,Vapor—remove victim to fresh air. Give artificial respiration if breathing stops. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.,Stable.,Usual materials of construction are suitable.,,,Group 20 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",,Avoid breathing high vapor concentrations. Prolonged or repeated skin contact may cause defatting of the skin and may produce dermatitis from daily contact.,,38,USCG Hazardous Chemical Data,
iso-BUTYLAMINE,1-Amino-2-Methylpropane; Isobutylamine; mono-Isobutylamine; 2-Methylpropylamine,1214,IAM (all isomers): BTY,(CH3)2CHCH2NH2,Colorless liquid with ammonia-like odor.,0.73,Alkyl amine,66°C 151°F,-86°C -123°F,218,2.4,2.5,Complete,C: Flammable liquid,D,10,1.7 to 9.8%,712,"Dry chemical, alcohol foam or carbon dioxide.","Water may be ineffective, but should be used to keep containers cool.","Toxic oxides of nitrogen may be formed in fire. Flammable, high fire risk. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.","2,3,0",Unavailable,5/Skin*,5/Skin*,"Loss of consciousness may occur. If taken internally, convulsions may also occur.",10-15 ppm is highly irritating.,,,"Remove clothing and shoes. Flush affected areas with plenty of water. If in eyes flush eyes thoroughly with water. If taken internally, and victim is conscious, have him drink water. If victim is unconscious, do nothing except keep him warm. Call a doctor.",Stable. Keep separated from heat and oxidants.,"Store in carbon steel, aluminum, stainless steel for purity. Copper and its alloys should NOT be used.",,,Group 7 of compatibility chart.,"Wear butyl rubber gloves, protective clothing and self-contained breathing apparatus. Avoid contact with liquid. Secure ignition sources. Cover spills with sodium bisulfate and spray with large amounts of water. If a spill occurs, call the National Response Center, 800-424-8802.",* PEL and TLV based upon n-Butylamine.,"Moderately toxic, eye, skin and respiratory irritant.",,39,USCG Hazardous Chemical Data,
n-BUTYLAMINE,1-Aminobutane; 1-Butanamine; Butylamine; Mono-n-butylamine; Norvalamine,1125,BAM (all isomers): BTY,CH3CH2CH2CH2NH2,"Colorless liquid with a pungent, ammonia-like odor",0.74,Alkyl amine,78°C 172°F,-50°C -58°F,82,1.39,2.5,Complete,C: Flammable liquid,D,10,1.7 to 9.8%,594,"Confined-dry powder, CO2. Open-water, polar solvent foam.",Keep tanks cool with water spray. Provide fire fighters with protective clothing and self-contained breathing apparatus against toxic fumes.,"Toxic oxides of nitrogen may be formed in fire. Flammable, dangerous fire risk. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.","4,4,4",1 to 2,5/Skin,5/Skin,"Severe damage to skin or eyes by liquid, irritation of upper respiratory tract and eyes, mild headaches and flushing of skin of face, cumulative effects have not been observed.",Ten to 15 ppm is highly irritating during short exposure; 3100 ppm killed 3 out of 3 rats in 50 min.; whereas rats survived a single 4-hour exposure of 2000 ppm. Hazards unknown for humans.,,,"Flush skin or eyes immediately with large amounts of water for approximately 15 minutes. Remove all contaminated clothing and flush underlying areas with water. In case of eye contact or inhalation of high concentrations of vapor, victim should be immediately placed under physician's care.","Stable, but readily combines with acids, aldehydes, chlorohydrins, and organic sulfur compounds.",Store in carbon steel containers or aluminum or stainless steel for purity. Copper and its alloys should not be used.,,,Group 7 of compatibility chart.,"Wear butyl rubber gloves, protective clothing, self-contained breathing apparatus. Avoid contact with liquid. Secure ignition sources. Cover spill with sodium bisulfate. Spray with large amounts of water. Burn in open pit after dissolving in waste alcohols or in an incinerator with afterburners and scrubber. If a spill occurs, call the National Response Center, 800-424-8802.",,"Poisonous if inhaled or if skin is exposed to the vapor. Irritation of eyes and respiratory tract, severe damage after contact of short to moderate periods.",,40,USCG Hazardous Chemical Data,
sec-BUTYLAMINE,2-Aminobutane; 2-Butanamine; 1-Methylpropylamine,,BTL (all isomers): BTY,CH3CH(NH2)C2H5,Colorless liquid; ammonia-like odor.,0.73,Alkyl amines,63°C 146°F,-104°C -155°F,140,6.1,2.52,complete,C: Flammable liquid,D,16,Unavailable,,"Confined-dry powder, CO2. Open-polar solvent foam, water.",Keep tanks cool with water spray. Provide fire fighters with protective clothing and self-contained breathing apparatus.,"Toxic oxides of nitrogen may be formed in fire. Flammable, dangerous fire risk. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.","3,2,3",Unavailable,5/Skin*,5/Skin*,"Coughing, irritation of eyes and mucous membranes, redness or irritation of skin.",Unavailable,,,"Flush skin and eyes immediately with large amounts of water for 15 minutes. In case of eye contact, inhalation of high concentrations, or ingestion, victim should be placed under physician's care.",Stable.,Carbon steel.,,,Group 7 of compatibility chart.,"Wear butyl rubber boots, gloves, protective clothing, self-contained breathing apparatus. Avoid contact with liquid. Secure ignition sources. Cover with sodium bisulfate and wash with plenty of water—or dissolve in waste alcohols and burn. Burn in open pit or in an incinerator with after burners and scrubber. If a spill occurs, call the National Response Center, 800-424-8802.",* PEL and TLV based upon n-Butylamine. + Unassigned,Moderately toxic.,,41,USCG Hazardous Chemical Data,
tert-BUTYLAMINE,"2-Aminoisobutane; 2-Amino-2-methylpropane; Dimethyl ethylamine; 1,1-Dimethylethylamine; 2-Methyl-2-propanamine; Trimethylaminomethane",,BUA (all isomers): BTY,(CH3)3CNH2,Water white liquid; ammoniacal odor,0.7,Alkyl amine,45°C 113°F,-67°C -88°F,340,11,2.5,Complete,B: Flammable liquid,D,about 50,1.7 to 9.0%,612,"Dry chemical, alcohol foam or CO2",Keep tanks cool with water spray. Provide fire fighters with protective clothing and self-contained breathing apparatus.,Toxic oxides of nitrogen may form in fire. Vapors form explosive mixtures with air. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.,"2,2,3",Unavailable,5/Skin*,5/Skin*,"Red or irritated eyes or skin, coughing, irritation of mucous membrane, nausea.",Animal test for liquid eye irritation produced destruction of corneal tissue with 2-3 min. Vapor inhalation for 5 minutes was fatal to test animals.,,,"Flush skin and eyes immediately with large amounts of water for 15 minutes. Remove all contaminated clothing and flush underlying areas with water. In case of eye contact or inhalation of high concentrations of vapor, victim should be immediately placed under physician's care.",Stable.,"Doesn't react with steel, wood, cloth; softens rubber and paint.",,,Group 7 of compatibility chart.,"Wear butyl rubber protective clothing, self-contained breathing apparatus. Avoid contact with liquid. Secure ignition sources. Cover with sodium bisulfate and wash with plenty of water. Do not flush spill into confined spaces where flammable vapors can accumulate. Burn in an open pit or an incinerator with afterburners and scrubber. If a spill occurs, call the National Response Center, 800-424-8802.",* PEL and TLV based upon n-Butylamine. + Unassigned,"Causes irreversible damage to eye tissue. Moderately toxic by oral intake. Irritating to eyes, skin, lungs. Not absorbed through skin.",,42,USCG Hazardous Chemical Data,
BUTYL BENZYL PHTHALATE,"BBP; Benzyl n-butyl phthalate; Phthalic acid, benzyl butyl ether; Santicizer 160",,BPH,"C4H9COOC6H4COOCH2C6H5, or C19H20O4","Colorless, oily liquid; slight, characteristic odor.",1.12,Ester,370°C 698°F,-35°C -31°F,low,Low,10.8,Negligible,E: Combustible liquid,D,390,LEL=0.26% (calculated) UEL—Unavailable,Unavailable,"Confined—CO2, dry chemical. Open—water, foam.",Water or foam may cause extensive frothing.,"Fire hazard slight when exposed to heat or flame. Carbon monoxide, carbon dioxide, and water produced by combustion.","1,1,0",Unavailable,Unavailable,Unavailable,Low toxicity.,Will not cause irritation to skin.,,,Skin contact—wash affected areas with water. Vapor inhalation—remove victim to fresh air. Call a doctor.,Stable at moderate temperatures; no spontaneous decomposition. Can react with oxidizing materials.,"Destructive to rubber and paint. No effects on steel, wood, or cloth. Recommend containers of steel.",,,Group 34 of compatibility chart.,"Wear rubber gloves, face shield. Confine and absorb on suitable material such as sawdust, clay, or filtercel. May be incinerated. If a spill occurs, call the National Response Center, 800-424-8802.",* Vapor Pressure: 0.16 mmHg at 150°C. + Unassigned,No apparent hazards—low toxicity.,"Health Hazard Ratings row printed as illegible characters ('4; 1,20') in source; left null rather than guessed.",43,USCG Hazardous Chemical Data,
BUTYLENE,Butene; 1-Butene; alpha-Butylene; Ethylethylene,1012,BTN,CH2=CHCH2CH3,Colorless gas; sweetish odor,0.60 at 20°C (a liquid),Olefin,-6°C 21°F,-186°C -302°F,1030,62.5,1.94,insoluble,Liquefied Flammable Gas (LFG),D,110 (cc),1.6 to 9.3%,723,"Stop flow of gas; CO2, dry chemical, water fog.",Keep burning tank and adjacent tanks cool with a water spray.,"Unless the flow of gas can be stopped, extinguishing a butene fire will permit accumulation of an explosive concentration of vapor, and subsequent explosion or re-flash.",Unavailable,Unavailable,Unavailable,Unavailable,Breathing high concentrations of gas for some time may cause dizziness. Contact with liquid may cause skin and eye injury similar to frostbite.,Unavailable,,,"Remove to fresh air. If breathing has stopped, give artificial respiration. If the liquid has spilled onto the skin, points of contact may be frostbitten; handle gently and protect from mechanical damage. DO NOT RUB. Get medical attention.",Stable. Can react with oxidizing materials.,Noncorrosive to most materials of construction.,,,Group 30 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Secure ignition sources. The spilled liquid will boil away rapidly, leaving no residue. If a spill occurs, call the National Response Center, 800-424-8802.",,May produce anesthetic effects on exposure to high vapor concentrations. Contact with liquid may produce a frostbite.,,44,USCG Hazardous Chemical Data,
BUTYLENE MIXTURES*,No common synonyms.,,,C4H8,Gas with gasoline-like odor.,Unavailable,Olefins,,,,,1.9,Insoluble,A: Liquefied Flammable Gas (LFG),Unassigned,-24 approximately,1.0 to 10.0% (approx.),615 to 725 (approx.),"Stop flow of gas; CO2, dry chemical, water spray",Use water to cool containers in order to reduce possibility of rupturing tank. Try to seal the gas leak. Use water spray to knock down water vapors. Flash back along vapor trail may occur.,"Unless the flow of gas can be stopped, extinguishing a fire will permit the accumulation of an explosive concentration of vapor, and subsequent explosion or re-flash.","1,4,0",Unavailable,Unavailable,Unavailable,Causes dizziness and difficult breathing. Liquid will cause frostbite.,Unavailable,,,"Remove victim to fresh air. If breathing has stopped, administer artificial respiration. If breathing is difficult, give oxygen. If the liquid has spilled onto the skin, points of contact may be frostbitten; handle gently and protect from mechanical damage. DO NOT RUB. Get medical attention.",Will react with acids and alkyl halides.,Usual materials of construction are suitable.,,,Group 30 of compatibility chart.,"Wear rubber gloves, face shield and protective clothing. Have all purpose canister mask available. Keep concentration of leaking gas below explosive mixture range by ventilation. Secure ignition sources. Do not flush spill into confined spaces where flammable vapors can accumulate. If a spill occurs, call the National Response Center, 800-424-8802.",* Some data are undeterminable because this category considers mixture of butylenes. + Unassigned,"Essentially non-toxic at low concentrations. At higher concentrations, it can act as an anesthetic.",,45,USCG Hazardous Chemical Data,
"1,3-BUTYLENE GLYCOL","Butane-1,3-diol; 1,3-Butanediol; beta-Butyleneglycol; 1,3-Dihydroxybutane; Methyltrimethylene glycol",,BUG,CH2OHCH2CH(OH)CH3,Practically colorless; odorless liquid.,1.01,Glycol,207°C 406°F,23°C 74°F,0.06,low,3.1,complete,E: Combustible liquid,D,250,Unavailable,710,"Water, carbon dioxide or dry chemical, alcohol foam.",Cool exposed tanks with water.,Slight fire hazard when exposed to heat or flame.,"0,0,0",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,Vapor—remove victim to fresh air. Skin or eye contact—gently flush contaminated areas with water for 15 minutes.,Stable. Can react with oxidizing materials.,Usual materials of construction are suitable.,,,Group 20 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Avoid contact with liquid. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unassigned,Not considered toxic under ordinary conditions of handling.,"Freezing point, vapor pressure, vapor density and water solubility values were not legible in the text layer for this page.",46,USCG Hazardous Chemical Data,
"1,2-BUTYLENE OXIDE","1,2-Butylene oxide, stabilized; alpha-Butylene oxide; 1,2-Epoxybutane",3022,BTO,H2COCHCH2CH3,"Colorless liquid; sharp, pungent odor",0.83,Alkylene oxide,63°C 146°F,-50°C -58°F,207,5.8,2.49,Moderate,C: Flammable liquid,B,less than -20,1.5 to 25.1%,959,"Confined—CO2. Open—Water, foam.","Cool tanks with water spray. Use water spray to ""knock down"" vapor.","Very flammable and vapors are highly flammable, even explosive. Fire or contamination may cause violent rupture of tanks. Flashback along vapor trail may occur.",Not Listed,Unavailable,Unavailable,400*,"Coughing, watering eyes, sickness of stomach, frostbitten skin.",Prolonged contact with skin causes frostbite burn.,,,"Vapor—remove victim to fresh air; if breathing has stopped, use oxygen inhalation. If ingested, make victim vomit, at least 2-3 times, and then give victim a tablespoon of Epsom salt in glass of water. Flush eyes immediately for approximately 15 minutes. Remove contaminated clothing or other wearing apparel immediately. Clothing can seldom be decontaminated. Wash skin with soap and water.","Thermodynamically unstable; decomposition is rapid. Polymerization will occur in presence of acids, bases, and certain salts.","Mild steel or stainless steel is unaffected. Storage tanks and other equipment should be absolutely dry and free from air, ammonia, acetylene, hydrogen sulfide, rust, and other contaminants.",,"Polymerization will occur in presence of acids, bases, and certain salts.",Group 16 of compatibility chart.,"Evacuate area, wear respiratory protective devices as well as impervious clothing (boots, gloves, etc.). Use large amounts of water to dilute to at least 22 parts H2O to 1 part of oxide. Leaking containers should be immersed into large amounts of water if possible. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.","Use an inert gas to displace the air in the storage of butylene oxide. * Value obtained from a CG-4355 form; however, this value was not confirmed.",Irritation of eyes and respiratory tract. Overexposure will cause serious injury. Contact with eyes will cause burn. Contact with uncovered skin produces frostbite. Ingestion will cause serious illness or death.,,47,USCG Hazardous Chemical Data,
n-BUTYL ETHER,"1-Butoxy butane; Butyl ether; Dibutyl ether; Di-n-butyl ether; n-Dibutyl ether; Dibutyl ethers; Dibutyl oxide; 1,1'-Oxybis[butane]",1149,DBE,(C4H9)2O,"Colorless liquid; mild, pleasant, ether-like odor",0.767,Ethers,142°C 288°F,-95°C -140°F,4.8,,4.5,Negligible,D: Combustible liquid,C,92,1.5 to 7.6%,382,"Dry chemical, alcohol foam, CO2","Containers may explode in fire. Water may be ineffective. Cool exposed containers with water. Secure ignition sources. Wear goggles or face shield, rubber gloves.","Flammable, irritating vapors are produced. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area. Ground all equipment and personnel!",Unavailable,Unavailable,Unavailable,Unavailable,Inhalation causes irritation of nose and throat. Liquid irritates eyes and irritates skin or prolonged contact.,Data not available.,,,"Remove to fresh air, administer artificial respiration or oxygen as necessary. Remove contaminated clothing. Flush areas with large amounts of water. If conscious, induce vomiting. Get medical attention. SPEED IS OF PRIMARY IMPORTANCE.","Stable. However, when anhydrous (dry), tends to form explosive peroxides in air.","Iron, aluminum, stainless steel, tin, polyethylene, porcelain, glass and enamel are suitable for containers.",,,Group 41 of compatibility chart.,"Mechanically contain material and remove. Stay upwind. Wear face shield and rubber gloves, protective clothing. Beware of flashback along vapor trail. Secure ignition sources. Ground all equipment and personnel! If a spill occurs, call the National Response Center, 800-424-8802.",+ Unavailable,"Vapor irritating to eyes, nose, and throat. Liquid irritating to skin and eyes.",,48,USCG Hazardous Chemical Data,
