49 CFR 172.101 Hazardous Materials Table,,,,,,,,,,,,,,,
Symbols,Hazardous materials description and proper shipping names,Hazard class or Division,ID Numbers,PG,Label Codes,Special provisions (172.102),Packaging (173.***),,,Quantity limitations,,Vessel stowage,,,
,"Acrolein, stabilized",6.1,UN1092,I,"6.1, 3","1, B9, B14, B30, B42, B72, B77, T22, TP2, TP7, TP13, TP38, TP44",None,226,244,Forbidden,Forbidden,D,40,,
,"Acrylamide, solid",6.1,UN2074,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,12,,
,Acrylamide solution,6.1,UN3426,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,12,,
,"Acrylic acid, stabilized",8,UN2218,II,"8, 3","B2, IB2, T7, TP2",154,202,243,1 L,30 L,C,"25, 40",,
,"Acrylonitrile, stabilized",3,UN1093,I,"3, 6.1","B9, T14, TP2, TP13",None,201,243,Forbidden,30 L,E,40,,
,"Actuating cartridge, explosive, see Cartridges, power device",,,,,,,,,,,,,,
,"Adhesives, containing a flammable liquid",3,UN1133,I,3,"B42, T11, TP1, TP8, TP27",150,201,243,1 L,30 L,B,,,
,"Adhesives, containing a flammable liquid",3,UN1133,II,3,"149, B52, IB2, T4, TP1, TP8",150,173,242,5 L,60 L,B,,,
,"Adhesives, containing a flammable liquid",3,UN1133,III,3,"B1, B52, IB3, T2, TP1",150,173,242,60 L,220 L,A,,,
,Adiponitrile,6.1,UN2205,III,6.1,"IB3, T3, TP1",153,203,241,60 L,220 L,A,,,
,"Aerosols, corrosive, Packing Group II or III, (each not exceeding 1 L capacity)",2.2,UN1950,,"2.2, 8",A34,306,None,None,75 kg,150 kg,A,"48, 87, 126",,
,"Aerosols, flammable, (each not exceeding 1 L capacity)",2.1,UN1950,,2.1,N82,306,None,None,75 kg,150 kg,A,"48, 87, 126",,
,"Aerosols, flammable, n.o.s. (engine starting fluid) (each not exceeding 1 L capacity)",2.1,UN1950,,2.1,N82,306,304,None,Forbidden,150 kg,A,"48, 87, 126",,
,"Aerosols, non-flammable, (each not exceeding 1 L capacity)",2.2,UN1950,,2.2,,306,None,None,75 kg,150 kg,A,"48, 87, 126",,
,"Aerosols, poison, (each not exceeding 1 L capacity)",2.2,UN1950,,"2.2, 6.1",,306,None,None,Forbidden,Forbidden,A,"48, 87, 126",,
I ,"Air bag inflators, or Air bag modules, or Seat-belt pretensioners.",1.4G,UN0503,II,1.4G,161,None,62,None,Forbidden,75 kg,2,,,
,"Air bag inflators, or Air bag modules, or Seat-belt pretensioners.",9,UN3268,III,9,160,166,166,166,25 kg,100 kg,A,,,
,"Air, compressed",2.2,UN1002,,2.2,78,"306, 307",302,302,75 kg,150 kg,A,,,
,"Aircraft engines (including turbines), see Engines, internal combustion",,,,,,,,,,,,,,
,"Aircraft evacuation slides, see Life saving appliances etc",,,,,,,,,,,,,,
,Aircraft hydraulic power unit fuel tank (containing a mixture of anhydrous hydrazine and monomethyl hydrazine) (M86 fuel),3,UN3165,I,"3, 6.1, 8",,None,172,None,Forbidden,42 L,E,,,
,"Aircraft survival kits, see Life saving appliances etc",,,,,,,,,,,,,,
,"Air, refrigerated liquid, (cryogenic liquid)",2.2,UN1003,,"2.2, 5.1","T75, TP5, TP22",320,316,"318, 319",Forbidden,Forbidden,D,51,,
,"Air, refrigerated liquid, (cryogenic liquid) non-pressurized",2.2,UN1003,,"2.2, 5.1","T75, TP5, TP22",320,316,"318, 319",Forbidden,Forbidden,D,51,,
G ,"Alcoholates solution, n.o.s., in alcohol",3,UN3274,II,"3, 8",IB2,150,202,243,1 L,5 L,B,,,
,Alcoholic beverages,3,UN3065,II,3,"24, 149, B1, IB2, T4, TP1",150,202,242,5 L,60 L,A,,,
,Alcoholic beverages,3,UN3065,III,3,"24, B1, IB3, N11, T2, TP1",150,203,242,60 L,220 L,A,,,
G ,"Alcohols, flammable, toxic, n.o.s.",3,UN1986,I,"3, 6.1","T14, TP2, TP13, TP27",None,201,243,Forbidden,30 L,E,40,,
G ,"Alcohols, flammable, toxic, n.o.s.",3,UN1986,II,"3, 6.1","IB2, T11, TP2, TP27",150,202,243,1 L,60 L,B,40,,
G ,"Alcohols, flammable, toxic, n.o.s.",3,UN1986,III,"3, 6.1","B1, IB3, T7, TP1, TP28",150,203,242,60 L,220 L,A,,,
,"Alcohols, n.o.s.",3,UN1987,I,3,"172, T11, TP1, TP8, TP27",None,201,243,1 L,30 L,E,,,
,"Alcohols, n.o.s.",3,UN1987,II,3,"172, IB2, T7, TP1, TP8, TP28",150,202,242,5 L,60 L,B,,,
,"Alcohols, n.o.s.",3,UN1987,III,3,"172, B1, IB3, T4, TP1, TP29",150,203,242,60 L,220 L,A,,,
G ,"Aldehydes, flammable, toxic, n.o.s.",3,UN1988,III,"3, 6.1","B1, IB3, T7, TP1, TP28",150,203,242,60 L,220 L,A,,,
G ,"Aldehydes, flammable, toxic, n.o.s.",3,UN1988,I,"3, 6.1","T14, TP2, TP13, TP27",None,201,243,Forbidden,30 L,E,40,,
G ,"Aldehydes, flammable, toxic, n.o.s.",3,UN1988,II,"3, 6.1","IB2, T11, TP2, TP27",150,202,243,1 L,60 L,B,40,,
,"Aldehydes, n.o.s.",3,UN1989,III,3,"B1, IB3, T4, TP1, TP29",150,203,242,60 L,220 L,A,,,
,"Aldehydes, n.o.s.",3,UN1989,I,3,"T11, TP1, TP27",None,201,243,1 L,30 L,E,,,
,"Aldehydes, n.o.s.",3,UN1989,II,3,"IB2, T7, TP1, TP8, TP28",150,202,242,5 L,60 L,B,,,
,Aldol,6.1,UN2839,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,12,,
G ,"Alkali metal alcoholates, self-heating, corrosive, n.o.s.",4.2,UN3206,II,"4.2, 8","64, A7, IB5, IP2, T3, TP33",None,212,242,15 kg,50 kg,B,,,
G ,"Alkali metal alcoholates, self-heating, corrosive, n.o.s.",4.2,UN3206,III,"4.2, 8","64, A7, IB8, IP3, T1, TP33",None,213,242,25 kg,100 kg,B,,,
,"Alkali metal alloys, liquid, n.o.s.",4.3,UN1421,I,4.3,"A2, A3, A7, B48, N34",None,201,244,Forbidden,1 L,D,52,,
,"Alkali metal amalgam, liquid",4.3,UN1389,I,4.3,"A2, A3, A7, N34",None,201,244,Forbidden,1 L,D,"40, 52",,
,"Alkali metal amalgam, solid",4.3,UN3401,I,4.3,"IB4, IP1, N40, T9, TP7, TP33",None,211,242,Forbidden,15 kg,D,52,,
,Alkali metal amides,4.3,UN1390,II,4.3,"A6, A7, A8, A19, A20, IB7, IP2, T3, TP33",151,212,241,15 kg,50 kg,E,"40, 52",,
,"Alkali metal dispersions, or Alkaline earth metal dispersions",4.3,UN1391,I,4.3,"A2, A3, A7",None,201,244,Forbidden,1 L,D,52,,
,"Alkaline corrosive liquids, n.o.s., see Caustic alkali liquids, n.o.s.",,,,,,,,,,,,,,
G ,"Alkaline earth metal alcoholates, n.o.s.",4.2,UN3205,II,4.2,"65, A7, IB6, IP2, T3, TP33",None,212,241,15 kg,50 kg,B,,,
G ,"Alkaline earth metal alcoholates, n.o.s.",4.2,UN3205,III,4.2,"65, A7, IB8, IP3, T1, TP33",None,213,241,25 kg,100 kg,B,,,
,"Alkaline earth metal alloys, n.o.s.",4.3,UN1393,II,4.3,"A19, IB7, IP2, T3, TP33",151,212,241,15 kg,50 kg,E,52,,
,"Alkaline earth metal amalgams, liquid",4.3,UN1392,I,4.3,"A19, N34, N40",None,201,244,Forbidden,1 L,E,"40, 52",,
,"Alkaline earth metal amalgams, solid",4.3,UN3402,I,4.3,"A19, N34, N40, T9, TP7, TP33",None,211,242,Forbidden,15 kg,D,52,,
G ,"Alkaloids, liquid, n.o.s., or Alkaloid salts, liquid, n.o.s.",6.1,UN3140,I,6.1,"A4, T14, TP2, TP27",None,201,243,1 L,30 L,A,,,
G ,"Alkaloids, liquid, n.o.s., or Alkaloid salts, liquid, n.o.s.",6.1,UN3140,II,6.1,"IB2, T11, TP2, TP27",153,202,243,5 L,60 L,A,,,
G ,"Alkaloids, liquid, n.o.s., or Alkaloid salts, liquid, n.o.s.",6.1,UN3140,III,6.1,"IB3, T7, TP1, TP28",153,203,241,60 L,220 L,A,,,
G ,"Alkaloids, solid, n.o.s. or Alkaloid salts, solid, n.o.s. poisonous",6.1,UN1544,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,,,
G ,"Alkaloids, solid, n.o.s. or Alkaloid salts, solid, n.o.s. poisonous",6.1,UN1544,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
G ,"Alkaloids, solid, n.o.s. or Alkaloid salts, solid, n.o.s. poisonous",6.1,UN1544,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,"Alkylphenols, liquid, n.o.s. (including C2-C12 homologues)",8,UN3145,I,8,"A6, T14, TP2",None,201,243,0.5 L,2.5 L,B,,,
,"Alkylphenols, liquid, n.o.s. (including C2-C12 homologues)",8,UN3145,II,8,"IB2, T11, TP2, TP27",154,202,242,1 L,30 L,B,,,
,"Alkylphenols, liquid, n.o.s. (including C2-C12 homologues)",8,UN3145,III,8,"IB3, T7, TP1, TP28",154,203,241,5 L,60 L,A,,,
,"Alkylphenols, solid, n.o.s. (including C2-C12 homologues)",8,UN2430,I,8,"IB7, IP1, T6, TP33",None,211,242,1 kg,25 kg,B,,,
,"Alkylphenols, solid, n.o.s. (including C2-C12 homologues)",8,UN2430,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,B,,,
,"Alkylphenols, solid, n.o.s. (including C2-C12 homologues)",8,UN2430,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,,,
,"Alkyl sulfonic acids, liquid or Aryl sulfonic acids, liquid with > 5% free sulfuric acid",8,UN2584,II,8,"B2, IB2, T8, TP2, TP12, TP13",154,202,242,1 L,30 L,B,,,
,"Alkyl sulfonic acids, liquid or Aryl sulfonic acids, liquid with not > 5% free sulfuric acid",8,UN2586,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,B,,,
,"Alkyl sulfonic acids, solid or Aryl sulfonic acids, solid, with > 5% free sulfuric acid",8,UN2583,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,,,
,"Alkyl sulfonic acids, solid or Aryl sulfonic acids, solid with not > 5% free sulfuric acid",8,UN2585,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,,,
,Alkylsulfuric acids,8,UN2571,II,8,"B2, IB2, T8, TP2, TP12, TP13, TP28",154,202,242,1 L,30 L,C,14,,
,"Allethrin, see Pesticides, liquid, toxic, n.o.s.",,,,,,,,,,,,,,
,Allyl acetate,3,UN2333,II,"3, 6.1","IB2, T7, TP1, TP13",150,202,243,1 L,60 L,E,40,,
,Allyl alcohol,6.1,UN1098,I,"6.1, 3","2, B9, B14, B32, B74, B77, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,40,,
,Allylamine,6.1,UN2334,I,"6.1, 3","2, B9, B14, B32, B74, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,40,,
,Allyl bromide,3,UN1099,I,"3, 6.1","T14, TP2, TP13",None,201,243,Forbidden,30 L,B,40,,
,Allyl chloride,3,UN1100,I,"3, 6.1","T14, TP2, TP13",None,201,243,Forbidden,30 L,E,40,,
,"Allyl chlorocarbonate, see Allyl chloroformate",,,,,,,,,,,,,,
,Allyl chloroformate,6.1,UN1722,I,"6.1, 3, 8","2, B9, B14, B32, B74, N41, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,40,,
,Allyl ethyl ether,3,UN2335,II,"3, 6.1","IB2, T7, TP1, TP13",150,202,243,1 L,60 L,E,40,,
,Allyl formate,3,UN2336,I,"3, 6.1","T14, TP2, TP13",None,201,243,Forbidden,30 L,E,40,,
,Allyl glycidyl ether,3,UN2219,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Allyl iodide,3,UN1723,II,"3, 8","A3, A6, IB1, N34, T7, TP2, TP13",150,202,243,1 L,5 L,B,40,,
,"Allyl isothiocyanate, stabilized",6.1,UN1545,II,"6.1, 3","A3, A7, IB2, T7, TP2",None,202,243,Forbidden,60 L,D,40,,
,"Allyltrichlorosilane, stabilized",8,UN1724,II,"8, 3","A7, B2, B6, IB2, N34, T7, TP2, TP13",None,202,243,Forbidden,30 L,C,40,,
,"Aluminium alkyl halides, solid",4.2,UN3461,I,"4.2, 4.3","173, T21, TP7, TP33",None,181,244,Forbidden,Forbidden,D,134,,
,"Aluminum alkyl halides, liquid",4.2,UN3052,I,"4.2, 4.3","173, B9, B11, T21, TP2, TP7",None,181,244,Forbidden,Forbidden,D,134,,
,Aluminum alkyl hydrides,4.2,UN3076,I,"4.2, 4.3","173, B9, B11, T21, TP2, TP7",None,181,244,Forbidden,Forbidden,D,,,
,Aluminum alkyls,4.2,UN3051,I,"4.2, 4.3","173, B9, B11, T21, TP2, TP7",None,181,244,Forbidden,Forbidden,D,,,
,Aluminum borohydride or Aluminum borohydride in devices,4.2,UN2870,I,"4.2, 4.3","B11, T21, TP7, TP33",None,181,244,Forbidden,Forbidden,D,,,
,"Aluminum bromide, anhydrous",8,UN1725,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,40,,
,"Aluminum bromide, solution",8,UN2580,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,,,
,Aluminum carbide,4.3,UN1394,II,4.3,"A20, IB7, IP2, N41, T3, TP33",151,212,242,15 kg,50 kg,A,52,,
,"Aluminum chloride, anhydrous",8,UN1726,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,40,,
,"Aluminum chloride, solution",8,UN2581,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,,,
,"Aluminum dross, wet or hot",Forbidden,,,,,,,,,,,,,
,Aluminum ferrosilicon powder,4.3,UN1395,III,"4.3, 6.1","A19, A20, IB4",151,213,241,25 kg,100 kg,A,"39, 40, 52, 53, 85, 103",,
,Aluminum ferrosilicon powder,4.3,UN1395,II,"4.3, 6.1","A19, IB5, IP2, T3, TP33",151,212,242,15 kg,50 kg,A,"39, 40, 52, 53, 85, 103",,
,Aluminum hydride,4.3,UN2463,I,4.3,"A19, N40",None,211,242,Forbidden,15 kg,E,,,
D ,"Aluminum, molten",9,NA9260,III,9,"IB3, T1, TP3",None,None,247,Forbidden,Forbidden,D,,,
,Aluminum nitrate,5.1,UN1438,III,5.1,"A1, A29, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,,,
,"Aluminum phosphate solution, see Corrosive liquids, etc",,,,,,,,,,,,,,
,Aluminum phosphide,4.3,UN1397,I,"4.3, 6.1","A8, A19, N40",None,211,242,Forbidden,15 kg,E,"40, 52, 85",,
,Aluminum phosphide pesticides,6.1,UN3048,I,6.1,"A8, IB7, IP1, T6, TP33",None,211,242,Forbidden,15 kg,E,"40, 85",,
,"Aluminum powder, coated",4.1,UN1309,II,4.1,"IB8, IP2, IP4, T3, TP33",151,212,240,15 kg,50 kg,A,"13, 39, 52, 53, 74, 101",,
,"Aluminum powder, coated",4.1,UN1309,III,4.1,"IB8, IP3, T1, TP33",151,213,240,25 kg,100 kg,A,"13, 39, 52, 53, 74, 101",,
,"Aluminum powder, uncoated",4.3,UN1396,II,4.3,"A19, A20, IB7, IP2, T3, TP33",151,212,242,15 kg,50 kg,A,"39, 52, 53",,
,"Aluminum powder, uncoated",4.3,UN1396,III,4.3,"A19, A20, IB8, IP4, T1, TP33",151,213,241,25 kg,100 kg,A,"39, 52, 53",,
,Aluminum resinate,4.1,UN2715,III,4.1,"IB6, T1, TP33",151,213,240,25 kg,100 kg,A,,,
,"Aluminum silicon powder, uncoated",4.3,UN1398,III,4.3,"A1, A19, IB8, IP4, T1, TP33",151,213,241,25 kg,100 kg,A,"39, 40, 52, 53, 85, 103",,
,Aluminum smelting by-products or Aluminum remelting by-products,4.3,UN3170,II,4.3,"128, B115, IB7, IP2, T3, TP33",None,212,242,15 kg,50 kg,B,"85, 103",,
,Aluminum smelting by-products or Aluminum remelting by-products,4.3,UN3170,III,4.3,"128, B115, IB8, IP4, T1, TP33",None,213,241,25 kg,100 kg,B,"85, 103",,
,"Amatols, see Explosives, blasting, type B",,,,,,,,,,,,,,
G ,"Amines, flammable, corrosive, n.o.s. or Polyamines, flammable, corrosive, n.o.s.",3,UN2733,I,"3, 8","T14, TP1, TP27",None,201,243,0.5 L,2.5 L,D,"40, 52",,
G ,"Amines, flammable, corrosive, n.o.s. or Polyamines, flammable, corrosive, n.o.s.",3,UN2733,II,"3, 8","IB2, T11, TP1, TP27",150,202,243,1 L,5 L,B,"40, 52",,
G ,"Amines, flammable, corrosive, n.o.s. or Polyamines, flammable, corrosive, n.o.s.",3,UN2733,III,"3, 8","B1, IB3, T7, TP1, TP28",150,203,242,5 L,60 L,A,"40, 52",,
G ,"Amines, liquid, corrosive, flammable, n.o.s. or Polyamines, liquid, corrosive, flammable, n.o.s.",8,UN2734,I,"8, 3","A3, A6, N34, T14, TP2, TP27",None,201,243,0.5 L,2.5 L,A,52,,
G ,"Amines, liquid, corrosive, flammable, n.o.s. or Polyamines, liquid, corrosive, flammable, n.o.s.",8,UN2734,II,"8, 3","IB2, T11, TP2, TP27",None,202,243,1 L,30 L,A,52,,
G ,"Amines, liquid, corrosive, n.o.s., or Polyamines, liquid, corrosive, n.o.s.",8,UN2735,I,8,"A3, A6, B10, N34, T14, TP2, TP27",None,201,243,0.5 L,2.5 L,A,52,,
G ,"Amines, liquid, corrosive, n.o.s., or Polyamines, liquid, corrosive, n.o.s.",8,UN2735,II,8,"B2, IB2, T11, TP1, TP27",154,202,242,1 L,30 L,A,52,,
G ,"Amines, liquid, corrosive, n.o.s., or Polyamines, liquid, corrosive, n.o.s.",8,UN2735,III,8,"IB3, T7, TP1, TP28",154,203,241,5 L,60 L,A,52,,
G ,"Amines, solid, corrosive, n.o.s., or Polyamines, solid, corrosive n.o.s.",8,UN3259,I,8,"IB7, IP1, T6, TP33",None,211,242,1 kg,25 kg,A,52,,
G ,"Amines, solid, corrosive, n.o.s., or Polyamines, solid, corrosive n.o.s.",8,UN3259,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,52,,
G ,"Amines, solid, corrosive, n.o.s., or Polyamines, solid, corrosive n.o.s.",8,UN3259,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,52,,
,"2-Amino-4,6-Dinitrophenol, wetted with not < 20% water by mass",4.1,UN3317,I,4.1,"23, A8, A19, A20, N41",None,211,None,1 kg,15 kg,E,"28, 36",,
,2-Amino-4-chlorophenol,6.1,UN2673,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,2-Amino-5-diethylaminopentane,6.1,UN2946,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,2-(2-Aminoethoxy) ethanol,8,UN3055,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,,,
,N-Aminoethylpiperazine,8,UN2815,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,12,,
+ ,Aminophenols (o-, m-, p-),6.1,UN2512,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,
,"Aminopropyldiethanolamine, see Amines, etc",,,,,,,,,,,,,,
,"n-Aminopropylmorpholine, see Amines, etc",,,,,,,,,,,,,,
,Aminopyridines (o-, m-, p-),6.1,UN2671,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,B,"12, 40, 52"
D ,"Ammonia, anhydrous",2.2,UN1005,,2.2,"13, T50",None,304,"314, 315",Forbidden,Forbidden,D,"40, 52, 57",,
I ,"Ammonia, anhydrous",2.3,UN1005,,"2.3, 8","4, N87, T50",None,304,"314, 315",Forbidden,Forbidden,D,"40, 52, 57",,
D ,"Ammonia solution, relative density < 0.880 at 15 degrees C in water, with > 50% ammonia",2.2,UN3318,,2.2,"13, T50",None,304,"314, 315",Forbidden,Forbidden,D,"40, 52, 57",,
I ,"Ammonia solution, relative density < 0.880 at 15 degrees C in water, with > 50% ammonia",2.3,UN3318,,"2.3, 8","4, N87, T50",None,304,"314, 315",Forbidden,Forbidden,D,"40, 52, 57",,
,"Ammonia solution, relative density between 0.880 and 0.957 at 15 degrees C in water, with > 10% but not > 35% ammonia",8,UN2672,III,8,"IB3, IP8, T7, TP1",154,203,241,5 L,60 L,A,"40, 52, 85",,
,"Ammonia solutions, relative density < 0.880 at 15 degrees C in water, with > 35% but not > 50% ammonia",2.2,UN2073,,2.2,N87,306,304,"314, 315",Forbidden,150 kg,E,"40, 52, 57",,
,Ammonium arsenate,6.1,UN1546,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,53,,
,Ammonium azide,Forbidden,,,,,,,,,,,,,
,"Ammonium bifluoride, solid, see Ammonium hydrogen difluoride, solid",,,,,,,,,,,,,,
,"Ammonium bifluoride solution, see Ammonium hydrogen difluoride, solution",,,,,,,,,,,,,,
,Ammonium bromate,Forbidden,,,,,,,,,,,,,
,Ammonium chlorate,Forbidden,,,,,,,,,,,,,
,Ammonium dichromate,5.1,UN1439,II,5.1,"IB8, IP2, IP4, T3, TP33",152,212,242,5 kg,25 kg,A,52,,
,"Ammonium dinitro-o-cresolate, solid",6.1,UN1843,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,B,"36, 65, 66, 77",,
,Ammonium dinitro-o-cresolate solution,6.1,UN3424,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,B,"36, 66, 78, 91",,
,Ammonium dinitro-o-cresolate solution,6.1,UN3424,III,6.1,"IB2, T7, TP2",153,203,241,60 L,220 L,A,"36, 66, 78, 91",,
,Ammonium fluoride,6.1,UN2505,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,52,,
,Ammonium fluorosilicate,6.1,UN2854,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,52,,
,Ammonium fulminate,Forbidden,,,,,,,,,,,,,
,"Ammonium hydrogendifluoride, solid",8,UN1727,II,8,"IB8, IP2, IP4, N34, T3, TP33",154,212,240,15 kg,50 kg,A,"25, 40, 52",,
,"Ammonium hydrogendifluoride, solution",8,UN2817,II,"8, 6.1","IB2, N34, T8, TP2, TP12, TP13",154,202,243,1 L,30 L,B,40,,
,"Ammonium hydrogendifluoride, solution",8,UN2817,III,"8, 6.1","IB3, N3, T4, TP1, TP12, TP13",154,203,241,5 L,60 L,B,"40, 95",,
,Ammonium hydrogen sulfate,8,UN2506,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,40,,
,"Ammonium hydrosulfide, solution, see Ammonium sulfide solution",,,,,,,,,,,,,,
D ,"Ammonium hydroxide, see Ammonia solutions, etc",,,,,,,,,,,,,,
,Ammonium metavanadate,6.1,UN2859,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,"44, 89, 100, 141",,
,Ammonium nitrate based fertilizer,5.1,UN2067,III,5.1,"52, 150, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,B,"48, 59, 60, 66, 117",,
A W ,Ammonium nitrate based fertilizer,9,UN2071,III,9,"132, IB8, IP3",155,213,240,200 kg,200 kg,A,,,
